,precision,recall,f1-score,support
0,0.9974391805377721,0.9961636828644501,0.9968010236724248,1564.0
1,0.9692307692307692,0.9792746113989638,0.9742268041237113,193.0
accuracy,0.9943084803642572,0.9943084803642572,0.9943084803642572,0.9943084803642572
macro avg,0.9833349748842707,0.9877191471317069,0.9855139138980681,1757.0
weighted avg,0.9943405901096267,0.9943084803642572,0.9943213285256397,1757.0
