,precision,recall,f1-score,support
bebop_1,0.9651162790697675,0.9651162790697675,0.9651162790697675,86.0
membo_1,0.9134615384615384,0.8482142857142857,0.8796296296296297,112.0
unknown,0.9897894065092534,0.994868505452213,0.9923224568138196,1559.0
accuracy,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9840637450199203
macro avg,0.9561224080135199,0.936066356745422,0.9456894551710722,1757.0
weighted avg,0.9837162077721221,0.9840637450199203,0.9838071876444298,1757.0
