dataset_type,variant,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,delta_accuracy_vs_original,delta_precision_macro_vs_original,delta_recall_macro_vs_original,delta_f1_macro_vs_original,delta_accuracy_pp_vs_original,delta_f1_macro_pp_vs_original
binary,original,0.9880478087649402,0.9557624025425833,0.9864735035712866,0.9704425092104304,0.0,0.0,0.0,0.0,0.0,0.0
binary,noisy,0.9948776323278316,0.9837329550654342,0.9903098207068364,0.9869918766066839,0.006829823562891302,0.027970552522850967,0.0038363171355497716,0.016549367396253456,0.6829823562891302,1.6549367396253456
binary,noisy_kalman,0.9863403528742174,0.9576283108877208,0.9741595218848973,0.965696993361968,-0.0017074558907228532,0.0018659083451375569,-0.012313981686389308,-0.004745515848462389,-0.17074558907228532,-0.47455158484623894
multiclass,original,0.8861696072851452,0.7526253884068729,0.9343017839473156,0.7965721334167827,0.0,0.0,0.0,0.0,0.0,0.0
multiclass,noisy,0.9840637450199203,0.9561224080135199,0.936066356745422,0.9456894551710722,0.09789413773477518,0.203497019606647,0.0017645727981064896,0.1491173217542895,9.789413773477518,14.911732175428948
multiclass,noisy_kalman,0.9863403528742174,0.955229294056606,0.9525960965408583,0.9535155720935538,0.10017074558907224,0.20260390564973307,0.01829431259354275,0.15694343867677107,10.017074558907224,15.694343867677107
