experiment,dataset_type,variant,num_classes,checkpoint,checkpoint_val_acc,noise_std,kalman_q,kalman_r,test_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,best_epoch_by_val_acc,best_val_acc,best_epoch_by_val_loss,best_val_loss,last_train_loss,last_val_loss,last_train_acc,last_val_acc,test_acc_from_metrics,test_f1_from_metrics,test_loss_from_metrics
binary_original,binary,original,2,c:\Users\jango\Desktop\IO\DroneAcusticDetection\logs\drone_mamba\binary_original\checkpoints\binary_original-epoch=18-val_acc=0.9897.ckpt,0.9897,0.001,1e-05,1e-06,0.03598878952809999,0.9880478087649402,0.9557624025425833,0.9864735035712866,0.9704425092104304,0.9887700773605186,0.9880478087649402,0.9882425576538176,18,0.9897435903549194,19,0.0441857241094112,0.0403785035014152,0.0441857241094112,0.9825439453125,0.9868946075439452,0.9823563098907472,0.9572919607162476,0.2296275794506073
binary_noisy,binary,noisy,2,c:\Users\jango\Desktop\IO\DroneAcusticDetection\logs\drone_mamba\binary_noisy\checkpoints\binary_noisy-epoch=15-val_acc=0.9954.ckpt,0.9954,0.001,1e-05,1e-06,0.026598015647990057,0.9948776323278316,0.9837329550654342,0.9903098207068364,0.9869918766066839,0.9949266199201938,0.9948776323278316,0.9948949256517814,15,0.9954416155815125,15,0.0281558912247419,0.0601757019758224,0.0661346986889839,0.98388671875,0.9772079586982728,0.9778030514717102,0.94759202003479,0.0734230056405067
binary_noisy_kalman,binary,noisy_kalman,2,c:\Users\jango\Desktop\IO\DroneAcusticDetection\logs\drone_mamba\binary_noisy_kalman\checkpoints\binary_noisy_kalman-epoch=05-val_acc=0.9846.ckpt,0.9846,0.001,1e-05,1e-06,0.07996865411966989,0.9863403528742174,0.9576283108877208,0.9741595218848973,0.965696993361968,0.9866793880563457,0.9863403528742174,0.9864615171266737,5,0.9846153855323792,9,0.0560769438743591,0.0788758471608161,0.0734285041689872,0.978515625,0.9709401726722716,0.9760956168174744,0.9439036846160888,0.0654980242252349
multiclass_original,multiclass,original,3,c:\Users\jango\Desktop\IO\DroneAcusticDetection\logs\drone_mamba\multiclass_original\checkpoints\multiclass_original-epoch=16-val_acc=0.8718.ckpt,0.8718,0.0005,1e-06,1e-05,0.3374445911117352,0.8861696072851452,0.7526253884068729,0.9343017839473156,0.7965721334167827,0.951897211122927,0.8861696072851452,0.9068697800358367,6,0.976068377494812,6,0.0898027345538139,0.0726769939064979,0.1765866577625274,0.9764404296875,0.9544159770011902,0.9538986682891846,0.8857112526893616,0.1825620979070663
multiclass_noisy,multiclass,noisy,3,c:\Users\jango\Desktop\IO\DroneAcusticDetection\logs\drone_mamba\multiclass_noisy\checkpoints\multiclass_noisy-epoch=09-val_acc=0.9897.ckpt,0.9897,0.0005,1e-06,1e-05,0.08786171931703456,0.9840637450199203,0.9561224080135199,0.936066356745422,0.9456894551710722,0.9837162077721221,0.9840637450199203,0.9838071876444298,5,0.978917360305786,6,0.2123754918575287,0.2458075881004333,0.239541083574295,0.9344482421875,0.9749287962913512,0.9766647815704346,0.9205263257026672,0.2251556366682052
multiclass_noisy_kalman,multiclass,noisy_kalman,3,c:\Users\jango\Desktop\IO\DroneAcusticDetection\logs\drone_mamba\multiclass_noisy_kalman\checkpoints\multiclass_noisy_kalman-epoch=12-val_acc=0.9886.ckpt,0.9886,0.0005,1e-06,1e-05,0.055702116209514374,0.9863403528742174,0.955229294056606,0.9525960965408583,0.9535155720935538,0.9864226039960076,0.9863403528742174,0.9863123246260422,12,0.9886040091514589,15,0.0447718985378742,0.0527610443532466,0.0667613893747329,0.983642578125,0.9863247871398926,0.9846329092979432,0.9492636919021606,0.0609341077506542
