,precision,recall,f1-score,support
unknown,0.9942159383033419,0.9891304347826086,0.9916666666666667,1564.0
yes_drone,0.9154228855721394,0.9533678756476683,0.934010152284264,193.0
accuracy,0.9852020489470689,0.9852020489470689,0.9852020489470689,0.9852020489470689
macro avg,0.9548194119377407,0.9712491552151385,0.9628384094754654,1757.0
weighted avg,0.9855608107124927,0.9852020489470689,0.9853333102205633,1757.0
