,precision,recall,f1-score,support
bebop_1,0.5714285714285714,0.9767441860465116,0.721030042918455,86.0
membo_1,0.7555555555555555,0.9107142857142857,0.8259109311740891,112.0
unknown,0.9932203389830508,0.9397049390635023,0.965721819380356,1559.0
accuracy,0.9396698918611269,0.9396698918611269,0.9396698918611269,0.9396698918611269
macro avg,0.7734014886557259,0.9423878036080998,0.8375542644909667,1757.0
weighted avg,0.9574249219349207,0.9396698918611269,0.9448326262928061,1757.0
