,precision,recall,f1-score,support
0,0.05443037974683544,1.0,0.10324129651860744,86.0
1,0.0,0.0,0.0,112.0
2,1.0,0.11353431686978832,0.20391705069124424,1559.0
accuracy,0.14968696642003415,0.14968696642003415,0.14968696642003415,0.14968696642003415
macro avg,0.35147679324894515,0.37117810562326276,0.10238611573661723,1757.0
weighted avg,0.8899721187582401,0.14968696642003415,0.18599057116007398,1757.0
