,precision,recall,f1-score,support
unknown,0.9980632666236281,0.9884910485933504,0.9932540957275939,1564.0
yes_drone,0.9134615384615384,0.9844559585492227,0.9476309226932669,193.0
accuracy,0.9880478087649402,0.9880478087649402,0.9880478087649402,0.9880478087649402
macro avg,0.9557624025425833,0.9864735035712866,0.9704425092104304,1757.0
weighted avg,0.9887700773605186,0.9880478087649402,0.9882425576538176,1757.0
