,precision,recall,f1-score,support
0,0.8673469387755102,0.9883720930232558,0.9239130434782609,86.0
1,0.8582677165354331,0.9732142857142857,0.9121338912133892,112.0
2,0.9993472584856397,0.9820397690827454,0.9906179230022646,1559.0
accuracy,0.9817871371656233,0.9817871371656233,0.9817871371656233,0.9817871371656233
macro avg,0.9083206379321943,0.9812087159400956,0.9422216192313049,1757.0
weighted avg,0.9838931115343055,0.9817871371656233,0.9823499485006036,1757.0
