experiment,dataset_type,variant,best_epoch_by_val_acc,best_val_acc,best_epoch_by_val_loss,best_val_loss,last_train_loss,last_val_loss,last_train_acc,last_val_acc,test_acc_from_metrics,test_f1_from_metrics,test_loss_from_metrics
binary_noisy,binary,noisy,15,0.9954416155815125,15,0.0281558912247419,0.0601757019758224,0.0661346986889839,0.98388671875,0.9772079586982728,0.9778030514717102,0.94759202003479,0.0734230056405067
binary_noisy_kalman,binary,noisy_kalman,5,0.9846153855323792,9,0.0560769438743591,0.0788758471608161,0.0734285041689872,0.978515625,0.9709401726722716,0.9760956168174744,0.9439036846160888,0.0654980242252349
binary_original,binary,original,18,0.9897435903549194,19,0.0441857241094112,0.0403785035014152,0.0441857241094112,0.9825439453125,0.9868946075439452,0.9823563098907472,0.9572919607162476,0.2296275794506073
multiclass_noisy,multiclass,noisy,5,0.978917360305786,6,0.2123754918575287,0.2458075881004333,0.239541083574295,0.9344482421875,0.9749287962913512,0.9766647815704346,0.9205263257026672,0.2251556366682052
multiclass_noisy_kalman,multiclass,noisy_kalman,12,0.9886040091514589,15,0.0447718985378742,0.0527610443532466,0.0667613893747329,0.983642578125,0.9863247871398926,0.9846329092979432,0.9492636919021606,0.0609341077506542
multiclass_original,multiclass,original,6,0.976068377494812,6,0.0898027345538139,0.0726769939064979,0.1765866577625274,0.9764404296875,0.9544159770011902,0.9538986682891846,0.8857112526893616,0.1825620979070663
