,precision,recall,f1-score,support
bebop_1,0.9010989010989011,0.9534883720930233,0.9265536723163842,86.0
membo_1,0.9622641509433962,0.9107142857142857,0.9357798165137615,112.0
unknown,0.9923076923076923,0.9929441949967928,0.9926258416159025,1559.0
accuracy,0.9857712009106432,0.9857712009106432,0.9857712009106432,0.9857712009106432
macro avg,0.9518902481166632,0.952382284268034,0.9516531101486828,1757.0
weighted avg,0.9859281631803405,0.9857712009106432,0.9857681515924543,1757.0
