,precision,recall,f1-score,support
0,0.9942196531791907,0.989769820971867,0.9919897468760013,1564.0
1,0.92,0.9533678756476683,0.9363867684478372,193.0
accuracy,0.9857712009106432,0.9857712009106432,0.9857712009106432,0.9857712009106432
macro avg,0.9571098265895954,0.9715688483097678,0.9641882576619192,1757.0
weighted avg,0.9860668967400422,0.9857712009106432,0.9858819638158784,1757.0
